categoria,anio,,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1764,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1774,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Cristo niño,1818,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1600,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1680,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1700,2.82%,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1705,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alegorías Eucarísticas,1715,0.56%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
