pais,,,conteo,Participación,,,,
Plato,Descriptor,Obras,50,0.26%,,,,
Pobreza,Descriptor,Obras,50,0.26%,,,,
Reyes,Descriptor,Obras,50,0.26%,,,,
Nicho,Descriptor,Obras,49,0.26%,,,,
Velo,Descriptor,Obras,49,0.26%,,,,
Banquete,Descriptor,Obras,48,0.25%,,,,
Bastón,Descriptor,Obras,48,0.25%,,,,
Transverberación,Descriptor,Obras,48,0.25%,,,,
Cordero,Descriptor,Obras,47,0.24%,,,,
Martir,Descriptor,Obras,47,0.24%,,,,
Pan y Vino,Descriptor,Obras,47,0.24%,,,,
Tapete,Descriptor,Obras,47,0.24%,,,,
Clero,Descriptor,Obras,46,0.24%,,,,
Lavatorio,Descriptor,Obras,46,0.24%,,,,
Monarquía española,Descriptor,Obras,46,0.24%,,,,
Prendimiento,Descriptor,Obras,46,0.24%,,,,
Corte eclesiástica,Descriptor,Obras,45,0.23%,,,,
Ovejas,Descriptor,Obras,45,0.23%,,,,
Escudo de monja,Descriptor,Obras,44,0.23%,,,,
Estatua,Descriptor,Obras,44,0.23%,,,,
Matrimonio,Descriptor,Obras,44,0.23%,,,,
Ermita,Descriptor,Obras,43,0.22%,,,,
Lobo/a,Descriptor,Obras,43,0.22%,,,,
Murallas,Descriptor,Obras,43,0.22%,,,,
Poder,Descriptor,Obras,43,0.22%,,,,
Acostada,Descriptor,Obras,42,0.22%,,,,
Cocina,Descriptor,Obras,42,0.22%,,,,
Herida,Descriptor,Obras,42,0.22%,,,,
Predicación,Descriptor,Obras,42,0.22%,,,,
Puente,Descriptor,Obras,42,0.22%,,,,
Celebración,Descriptor,Obras,41,0.21%,,,,
Cetro,Descriptor,Obras,41,0.21%,,,,
Demonios,Descriptor,Obras,41,0.21%,,,,
Guirnalda de flores,Descriptor,Obras,41,0.21%,,,,
Pastor,Descriptor,Obras,41,0.21%,,,,
Torre,Descriptor,Obras,41,0.21%,,,,
Bonete,Descriptor,Obras,40,0.21%,,,,
Bote,Descriptor,Obras,40,0.21%,,,,
Pobres,Descriptor,Obras,40,0.21%,,,,
Costumbres,Descriptor,Obras,39,0.20%,,,,
Cueva,Descriptor,Obras,39,0.20%,,,,
Honor,Descriptor,Obras,39,0.20%,,,,
Política,Descriptor,Obras,39,0.20%,,,,
Cascada,Descriptor,Obras,38,0.20%,,,,
Cerca,Descriptor,Obras,38,0.20%,,,,
Ministro,Descriptor,Obras,38,0.20%,,,,
Sepultura,Descriptor,Obras,37,0.19%,,,,
"Accidente
Calamidad",Descriptor,Obras,36,0.19%,,,,
Cuerda,Descriptor,Obras,36,0.19%,,,,
Escultura,Descriptor,Obras,36,0.19%,,,,
Iglesia miniatura,Descriptor,Obras,36,0.19%,,,,
Ojos vendados,Descriptor,Obras,36,0.19%,,,,
Piedad,Descriptor,Obras,36,0.19%,,,,
Venerable,Descriptor,Obras,36,0.19%,,,,
Birrete,Descriptor,Obras,35,0.18%,,,,
Eremita,Descriptor,Obras,35,0.18%,,,,
Mendigo,Descriptor,Obras,35,0.18%,,,,
Tronco,Descriptor,Obras,34,0.18%,,,,
Burro,Descriptor,Obras,33,0.17%,,,,
Cabeza,Descriptor,Obras,33,0.17%,,,,
Enfermos,Descriptor,Obras,33,0.17%,,,,
Guantes,Descriptor,Obras,33,0.17%,,,,
Ruinas,Descriptor,Obras,33,0.17%,,,,
Tapiz,Descriptor,Obras,32,0.17%,,,,
Verduras,Descriptor,Obras,32,0.17%,,,,
América,Descriptor,Obras,31,0.16%,,,,
Fuego,Descriptor,Obras,31,0.16%,,,,
Arco y carcaj,Descriptor,Obras,30,0.16%,,,,
Asiento,Descriptor,Obras,30,0.16%,,,,
Lago,Descriptor,Obras,30,0.16%,,,,
Pan,Descriptor,Obras,30,0.16%,,,,
Pájaro,Descriptor,Obras,29,0.15%,,,,
Hornacina,Descriptor,Obras,28,0.15%,,,,
Jarra,Descriptor,Obras,28,0.15%,,,,
Patrocinio,Descriptor,Obras,28,0.15%,,,,
"Plaza
",Descriptor,Obras,28,0.15%,,,,
Sacramentos,Descriptor,Obras,28,0.15%,,,,
Cuchillo,Descriptor,Obras,27,0.14%,,,,
Raza,Descriptor,Obras,27,0.14%,,,,
Reloj,Descriptor,Obras,27,0.14%,,,,
Vaso,Descriptor,Obras,27,0.14%,,,,
Cultivo,Descriptor,Obras,26,0.14%,,,,
Edificios,Descriptor,Obras,26,0.14%,,,,
Convento,Descriptor,Obras,25,0.13%,,,,
Cuadros,Descriptor,Obras,25,0.13%,,,,
Entierro,Descriptor,Obras,25,0.13%,,,,
Guirnalda,Descriptor,Obras,25,0.13%,,,,
Anciano,Descriptor,Obras,24,0.13%,,,,
Busto,Descriptor,Obras,24,0.13%,,,,
Ceremonia,Descriptor,Obras,24,0.13%,,,,
Esclavo,Descriptor,Obras,24,0.13%,,,,
Imposición de casulla,Descriptor,Obras,24,0.13%,,,,
Jinete,Descriptor,Obras,24,0.13%,,,,
Pelea,Descriptor,Obras,24,0.13%,,,,
Dosel,Descriptor,Obras,23,0.12%,,,,
Juicio final,Descriptor,Obras,23,0.12%,,,,
Mitología,Descriptor,Obras,23,0.12%,,,,
Paño,Descriptor,Obras,23,0.12%,,,,
Retablo,Descriptor,Obras,23,0.12%,,,,
Tiendas,Descriptor,Obras,23,0.12%,,,,
Calvario,Descriptor,Obras,22,0.11%,,,,
Caza,Descriptor,Obras,22,0.11%,,,,
Éxtasis,Descriptor,Obras,22,0.11%,,,,
Fresco,Descriptor,Obras,22,0.11%,,,,
Idólatras,Descriptor,Obras,22,0.11%,,,,
Mercado,Descriptor,Obras,22,0.11%,,,,
Reunión,Descriptor,Obras,22,0.11%,,,,
África,Descriptor,Obras,21,0.11%,,,,
Conversión,Descriptor,Obras,21,0.11%,,,,
Cura,Descriptor,Obras,21,0.11%,,,,
Dormida,Descriptor,Obras,21,0.11%,,,,
Hostia,Descriptor,Obras,21,0.11%,,,,
Instrumentos científicos,Descriptor,Obras,21,0.11%,,,,
Pentecostés,Descriptor,Obras,21,0.11%,,,,
Sastre,Descriptor,Obras,21,0.11%,,,,
Sombrilla,Descriptor,Obras,21,0.11%,,,,
Descalzo,Descriptor,Obras,20,0.10%,,,,
Escribano,Descriptor,Obras,20,0.10%,,,,
Orden militar,Descriptor,Obras,20,0.10%,,,,
Partitura,Descriptor,Obras,20,0.10%,,,,
Serpiente,Descriptor,Obras,20,0.10%,,,,
Telar,Descriptor,Obras,20,0.10%,,,,
Uvas,Descriptor,Obras,20,0.10%,,,,
Abanico,Descriptor,Obras,19,0.10%,,,,
Cautivo(s),Descriptor,Obras,19,0.10%,,,,
Choza,Descriptor,Obras,19,0.10%,,,,
Comunión,Descriptor,Obras,19,0.10%,,,,
Espejo,Descriptor,Obras,19,0.10%,,,,
Flechas,Descriptor,Obras,19,0.10%,,,,
Yelmo,Descriptor,Obras,19,0.10%,,,,
Agustinos,Descriptor,Obras,18,0.09%,,,,
Coro,Descriptor,Obras,18,0.09%,,,,
Gallina,Descriptor,Obras,18,0.09%,,,,
Juego,Descriptor,Obras,18,0.09%,,,,
Lapidación,Descriptor,Obras,18,0.09%,,,,
Mortificación,Descriptor,Obras,18,0.09%,,,,
Rosa,Descriptor,Obras,18,0.09%,,,,
Tablas,Descriptor,Obras,18,0.09%,,,,
Ataque,Descriptor,Obras,17,0.09%,,,,
Copa,Descriptor,Obras,17,0.09%,,,,
Europa,Descriptor,Obras,17,0.09%,,,,
Puerta,Descriptor,Obras,17,0.09%,,,,
Tejer,Descriptor,Obras,17,0.09%,,,,
Adán y Eva,Descriptor,Obras,16,0.08%,,,,
Ánfora,Descriptor,Obras,16,0.08%,,,,
Asia,Descriptor,Obras,16,0.08%,,,,
Beata,Descriptor,Obras,16,0.08%,,,,
Cíngulo de castidad,Descriptor,Obras,16,0.08%,,,,
Herejía,Descriptor,Obras,16,0.08%,,,,
"Hilo
",Descriptor,Obras,16,0.08%,,,,
Peregrinos,Descriptor,Obras,16,0.08%,,,,
Vicios y virtudes,Descriptor,Obras,16,0.08%,,,,
Acólito,Descriptor,Obras,15,0.08%,,,,
Arte,Descriptor,Obras,15,0.08%,,,,
Atributos,Descriptor,Obras,15,0.08%,,,,
Bordando,Descriptor,Obras,15,0.08%,,,,
Cuatro continentes,Descriptor,Obras,15,0.08%,,,,
Dragón,Descriptor,Obras,15,0.08%,,,,
Herramientas,Descriptor,Obras,15,0.08%,,,,
Madera,Descriptor,Obras,15,0.08%,,,,
Ojo de la Providencia,Descriptor,Obras,15,0.08%,,,,
