categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1812,,,,,,,,,,,,,,,,,,,,,,
Reyes de Israel,1835,,,,,,,,,,,,,,,,,,,,,,
Sansón,1600,,,,,,,,,,,,,,,,,,,,,,
Sansón,1640,,,,,,,,,,,,,,,,,,,,,,
Sansón,1650,1.000,,,,,,,,,,,,,,,,,,,,,
Sansón,1657,2.000,,,,,,,,,,,,,,,,,,,,,
Sansón,1659,,,,,,,,,,,,,,,,,,,,,,
Sansón,1670,,,,,,,,,,,,,,,,,,,,,,
Sansón,1683,,,,,,,,,,,,,,,,,,,,,,
Sansón,1685,,,,,,,,,,,,,,,,,,,,,,
Sansón,1700,1.000,,,,,,,,,,,,,,,,,,,,,
Sansón,1734,,,,,,,,,,,,,,,,,,,,,,
Sansón,1735,,,,,,,,,,,,,,,,,,,,,,
Sansón,1736,,,,,,,,,,,,,,,,,,,,,,
Sansón,1738,,,,,,,,,,,,,,,,,,,,,,
Sansón,1764,,,,,,,,,,,,,,,,,,,,,,
Sansón,1765,,,,,,,,,,,,,,,,,,,,,,
Sansón,1774,,,,,,,,,,,,,,,,,,,,,,
Sansón,1778,,,,,,,,,,,,,,,,,,,,,,
Sansón,1812,,,,,,,,,,,,,,,,,,,,,,
Sansón,1835,,,,,,,,,,,,,,,,,,,,,,
