categoria,anio,conteo
Dogma,1600,
Dogma,1606,
Dogma,1630,
Dogma,1638,
Dogma,1650,
Dogma,1652,
Dogma,1657,
Dogma,1661,
Dogma,1670,
Dogma,1673,
Dogma,1680,
Dogma,1684,
Dogma,1686,
Dogma,1690,
Dogma,1699,
Dogma,1700,4.00
Dogma,1701,
Dogma,1705,
Dogma,1713,
Dogma,1715,
Dogma,1720,
Dogma,1725,
Dogma,1729,
Dogma,1730,
Dogma,1732,
Dogma,1734,
Dogma,1736,
Dogma,1737,
Dogma,1738,
Dogma,1743,
Dogma,1745,
Dogma,1746,
Dogma,1749,
Dogma,1750,1.00
Dogma,1755,
Dogma,1756,
Dogma,1758,
Dogma,1760,
Dogma,1764,
Dogma,1765,
Dogma,1766,
Dogma,1767,
Dogma,1768,
Dogma,1769,
Dogma,1770,
Dogma,1771,
Dogma,1772,
Dogma,1773,
Dogma,1774,
Dogma,1775,
Dogma,1777,
Dogma,1778,
Dogma,1779,
Dogma,1780,
Dogma,1781,
Dogma,1782,
Dogma,1784,
Dogma,1785,
Dogma,1786,
Dogma,1787,
Dogma,1788,
Dogma,1789,
Dogma,1790,
Dogma,1791,
Dogma,1793,
Dogma,1795,
Dogma,1796,
Dogma,1797,
Dogma,1798,
Dogma,1800,2.00
Dogma,1801,
Dogma,1803,
Dogma,1804,
Dogma,1807,
Dogma,1810,
Dogma,1811,
Dogma,1812,
Dogma,1813,
Dogma,1814,
Dogma,1816,
Dogma,1817,
Dogma,1818,
Dogma,1819,
Dogma,1820,
Dogma,1823,
Dogma,1826,
Dogma,1827,
Dogma,1828,
Dogma,1831,
Dogma,1833,
Dogma,1834,
Dogma,1835,
Dogma,1839,
Dogma,1849,1.00
Dogma,1850,
Historia,1550,
Historia,1570,
Historia,1574,
Historia,1600,1.00
Historia,1606,
Historia,1630,1.00
Historia,1638,
Historia,1650,
Historia,1652,
Historia,1657,
Historia,1661,
Historia,1670,
Historia,1673,
Historia,1680,
Historia,1684,
Historia,1686,
Historia,1690,
Historia,1699,
Historia,1700,13.00
Historia,1701,1.00
Historia,1705,
Historia,1713,1.00
Historia,1715,
Historia,1720,
Historia,1725,1.00
Historia,1729,
Historia,1730,
Historia,1732,
Historia,1734,
Historia,1736,
Historia,1737,
Historia,1738,
Historia,1743,3.00
Historia,1745,1.00
Historia,1746,1.00
Historia,1749,
Historia,1750,
Historia,1755,
Historia,1756,1.00
Historia,1758,1.00
Historia,1760,
Historia,1764,
Historia,1765,
Historia,1766,
Historia,1767,1.00
Historia,1768,
Historia,1769,
Historia,1770,
Historia,1771,1.00
Historia,1772,1.00
Historia,1773,
Historia,1774,
Historia,1775,
Historia,1777,
Historia,1778,2.00
Historia,1779,1.00
Historia,1780,
Historia,1781,1.00
Historia,1782,
Historia,1784,1.00
Historia,1785,
Historia,1786,
Historia,1787,
Historia,1788,
Historia,1789,
Historia,1790,
Historia,1791,
Historia,1793,
Historia,1795,
Historia,1796,
Historia,1797,2.00
Historia,1798,1.00
Historia,1800,1.00
Historia,1801,
Historia,1803,
Historia,1804,
Historia,1807,
Historia,1810,
Historia,1811,
Historia,1812,
Historia,1813,
Historia,1814,
Historia,1816,1.00
Historia,1817,
Historia,1818,
Historia,1819,
Historia,1820,
Historia,1823,
Historia,1826,
Historia,1827,
Historia,1828,
Historia,1831,
Historia,1833,
Historia,1834,
Historia,1835,
Historia,1839,
Historia,1849,
Historia,1850,
Mariología,1550,1.00
Mariología,1570,1.00
Mariología,1574,1.00
Mariología,1600,5.00
Mariología,1606,
Mariología,1630,
Mariología,1638,
Mariología,1650,
Mariología,1652,
Mariología,1657,
Mariología,1661,
Mariología,1670,
Mariología,1673,
Mariología,1680,
Mariología,1684,
Mariología,1686,
Mariología,1690,
Mariología,1699,
Mariología,1700,38.00
Mariología,1701,
Mariología,1705,1.00
Mariología,1713,
Mariología,1715,
Mariología,1720,1.00
Mariología,1725,
Mariología,1729,
Mariología,1730,5.00
Mariología,1732,1.00
Mariología,1734,3.00
Mariología,1736,
Mariología,1737,
Mariología,1738,
Mariología,1743,
Mariología,1745,
Mariología,1746,
Mariología,1749,2.00
Mariología,1750,
Mariología,1755,1.00
Mariología,1756,
Mariología,1758,
Mariología,1760,1.00
Mariología,1764,
Mariología,1765,2.00
Mariología,1766,
Mariología,1767,
Mariología,1768,2.00
Mariología,1769,1.00
Mariología,1770,16.00
Mariología,1771,
Mariología,1772,
Mariología,1773,
Mariología,1774,
Mariología,1775,
Mariología,1777,3.00
Mariología,1778,6.00
Mariología,1779,3.00
Mariología,1780,1.00
Mariología,1781,4.00
Mariología,1782,3.00
Mariología,1784,3.00
Mariología,1785,4.00
Mariología,1786,
Mariología,1787,1.00
Mariología,1788,1.00
Mariología,1789,
Mariología,1790,2.00
Mariología,1791,
Mariología,1793,
Mariología,1795,1.00
Mariología,1796,2.00
Mariología,1797,1.00
Mariología,1798,
Mariología,1800,
Mariología,1801,1.00
Mariología,1803,
Mariología,1804,
Mariología,1807,
Mariología,1810,
Mariología,1811,2.00
Mariología,1812,
Mariología,1813,
Mariología,1814,
Mariología,1816,
Mariología,1817,
Mariología,1818,
Mariología,1819,
Mariología,1820,
Mariología,1823,1.00
Mariología,1826,
Mariología,1827,1.00
Mariología,1828,
Mariología,1831,
Mariología,1833,
Mariología,1834,
Mariología,1835,
Mariología,1839,
Mariología,1849,
Mariología,1850,
Mística y Moral,1550,
Mística y Moral,1570,
Mística y Moral,1574,
Mística y Moral,1600,
Mística y Moral,1606,
Mística y Moral,1630,
Mística y Moral,1638,
Mística y Moral,1650,
Mística y Moral,1652,
Mística y Moral,1657,
Mística y Moral,1661,
Mística y Moral,1670,
Mística y Moral,1673,
Mística y Moral,1680,
Mística y Moral,1684,
Mística y Moral,1686,
Mística y Moral,1690,
Mística y Moral,1699,
Mística y Moral,1700,
Mística y Moral,1701,
Mística y Moral,1705,
Mística y Moral,1713,
Mística y Moral,1715,
Mística y Moral,1720,
Mística y Moral,1725,
Mística y Moral,1729,
Mística y Moral,1730,
Mística y Moral,1732,
Mística y Moral,1734,
Mística y Moral,1736,
Mística y Moral,1737,
Mística y Moral,1738,
Mística y Moral,1743,
Mística y Moral,1745,
Mística y Moral,1746,
Mística y Moral,1749,
Mística y Moral,1750,
Mística y Moral,1755,
Mística y Moral,1756,
Mística y Moral,1758,
Mística y Moral,1760,
Mística y Moral,1764,
Mística y Moral,1765,
Mística y Moral,1766,
Mística y Moral,1767,
Mística y Moral,1768,
Mística y Moral,1769,
Mística y Moral,1770,
Mística y Moral,1771,
Mística y Moral,1772,
Mística y Moral,1773,
Mística y Moral,1774,
Mística y Moral,1775,
Mística y Moral,1777,
Mística y Moral,1778,
Mística y Moral,1779,
Mística y Moral,1780,
Mística y Moral,1781,
Mística y Moral,1782,
Mística y Moral,1784,
Mística y Moral,1785,
Mística y Moral,1786,
Mística y Moral,1787,
Mística y Moral,1788,
Mística y Moral,1789,
Mística y Moral,1790,1.00
Mística y Moral,1791,
Mística y Moral,1793,
Mística y Moral,1795,
Mística y Moral,1796,
Mística y Moral,1797,
Mística y Moral,1798,
Mística y Moral,1800,
Mística y Moral,1801,
Mística y Moral,1803,
Mística y Moral,1804,
Mística y Moral,1807,
Mística y Moral,1810,
Mística y Moral,1811,
Mística y Moral,1812,
Mística y Moral,1813,
Mística y Moral,1814,
Mística y Moral,1816,
Mística y Moral,1817,
Mística y Moral,1818,
Mística y Moral,1819,
Mística y Moral,1820,
Mística y Moral,1823,
Mística y Moral,1826,
Mística y Moral,1827,
Mística y Moral,1828,
Mística y Moral,1831,
Mística y Moral,1833,
Mística y Moral,1834,
Mística y Moral,1835,
Mística y Moral,1839,
Mística y Moral,1849,
Mística y Moral,1850,
Retrato,1550,
Retrato,1570,
Retrato,1574,
Retrato,1600,
Retrato,1606,
Retrato,1630,
Retrato,1638,
Retrato,1650,
Retrato,1652,
Retrato,1657,
Retrato,1661,
Retrato,1670,
Retrato,1673,
Retrato,1680,
Retrato,1684,
Retrato,1686,
Retrato,1690,
Retrato,1699,1.00
Retrato,1700,19.00
Retrato,1701,1.00
Retrato,1705,
Retrato,1713,
Retrato,1715,
Retrato,1720,
Retrato,1725,
Retrato,1729,
Retrato,1730,
Retrato,1732,
Retrato,1734,
Retrato,1736,
Retrato,1737,
Retrato,1738,
Retrato,1743,
Retrato,1745,
Retrato,1746,
Retrato,1749,
Retrato,1750,
Retrato,1755,
Retrato,1756,
Retrato,1758,
Retrato,1760,
Retrato,1764,1.00
Retrato,1765,
Retrato,1766,
Retrato,1767,
Retrato,1768,
Retrato,1769,
Retrato,1770,
Retrato,1771,
Retrato,1772,
Retrato,1773,
Retrato,1774,
Retrato,1775,
Retrato,1777,
Retrato,1778,
Retrato,1779,
Retrato,1780,1.00
Retrato,1781,2.00
Retrato,1782,
Retrato,1784,
Retrato,1785,
Retrato,1786,
Retrato,1787,
Retrato,1788,
Retrato,1789,
Retrato,1790,
Retrato,1791,
Retrato,1793,
Retrato,1795,
Retrato,1796,
Retrato,1797,
Retrato,1798,
Retrato,1800,2.00
Retrato,1801,
Retrato,1803,
Retrato,1804,
Retrato,1807,
Retrato,1810,
Retrato,1811,
Retrato,1812,
Retrato,1813,
Retrato,1814,
Retrato,1816,3.00
Retrato,1817,3.00
Retrato,1818,
Retrato,1819,
Retrato,1820,1.00
Retrato,1823,
Retrato,1826,1.00
Retrato,1827,
Retrato,1828,
Retrato,1831,1.00
Retrato,1833,
Retrato,1834,
Retrato,1835,
Retrato,1839,
Retrato,1849,
Retrato,1850,
Santos,1550,1.00
Santos,1570,
Santos,1574,
Santos,1600,4.00
Santos,1606,
Santos,1630,
Santos,1638,
Santos,1650,
Santos,1652,
Santos,1657,1.00
Santos,1661,
Santos,1670,3.00
Santos,1673,1.00
Santos,1680,4.00
Santos,1684,1.00
Santos,1686,2.00
Santos,1690,
Santos,1699,
Santos,1700,42.00
Santos,1701,
Santos,1705,
Santos,1713,
Santos,1715,10.00
Santos,1720,3.00
Santos,1725,
Santos,1729,
Santos,1730,
Santos,1732,2.00
Santos,1734,1.00
Santos,1736,
Santos,1737,
Santos,1738,
Santos,1743,
Santos,1745,1.00
Santos,1746,
Santos,1749,2.00
Santos,1750,
Santos,1755,
Santos,1756,
Santos,1758,
Santos,1760,53.00
Santos,1764,1.00
Santos,1765,1.00
Santos,1766,1.00
Santos,1767,
Santos,1768,
Santos,1769,2.00
Santos,1770,1.00
Santos,1771,
Santos,1772,
Santos,1773,
Santos,1774,2.00
Santos,1775,
Santos,1777,2.00
Santos,1778,2.00
Santos,1779,
Santos,1780,2.00
Santos,1781,2.00
Santos,1782,
Santos,1784,7.00
Santos,1785,4.00
Santos,1786,1.00
Santos,1787,1.00
Santos,1788,
Santos,1789,
Santos,1790,2.00
Santos,1791,2.00
Santos,1793,
Santos,1795,1.00
Santos,1796,3.00
Santos,1797,2.00
Santos,1798,
Santos,1800,7.00
Santos,1801,1.00
Santos,1803,
Santos,1804,
Santos,1807,
Santos,1810,1.00
Santos,1811,
Santos,1812,
Santos,1813,
Santos,1814,1.00
Santos,1816,
Santos,1817,
Santos,1818,1.00
Santos,1819,
Santos,1820,
Santos,1823,
Santos,1826,1.00
Santos,1827,
Santos,1828,
Santos,1831,
Santos,1833,
Santos,1834,1.00
Santos,1835,
Santos,1839,
Santos,1849,
Santos,1850,1.00
Temas Seculares,1550,
Temas Seculares,1570,
Temas Seculares,1574,
Temas Seculares,1600,1.00
Temas Seculares,1606,
Temas Seculares,1630,3.00
Temas Seculares,1638,1.00
Temas Seculares,1650,1.00
Temas Seculares,1652,1.00
Temas Seculares,1657,1.00
Temas Seculares,1661,1.00
Temas Seculares,1670,
Temas Seculares,1673,
Temas Seculares,1680,
Temas Seculares,1684,
Temas Seculares,1686,
Temas Seculares,1690,
Temas Seculares,1699,
Temas Seculares,1700,4.00
Temas Seculares,1701,
Temas Seculares,1705,
Temas Seculares,1713,
Temas Seculares,1715,
Temas Seculares,1720,
Temas Seculares,1725,
Temas Seculares,1729,1.00
Temas Seculares,1730,
Temas Seculares,1732,
Temas Seculares,1734,
Temas Seculares,1736,
Temas Seculares,1737,3.00
Temas Seculares,1738,
Temas Seculares,1743,
Temas Seculares,1745,
Temas Seculares,1746,
Temas Seculares,1749,
Temas Seculares,1750,
Temas Seculares,1755,
Temas Seculares,1756,
Temas Seculares,1758,
Temas Seculares,1760,2.00
Temas Seculares,1764,
Temas Seculares,1765,
Temas Seculares,1766,
Temas Seculares,1767,
Temas Seculares,1768,4.00
Temas Seculares,1769,
Temas Seculares,1770,
Temas Seculares,1771,
Temas Seculares,1772,
Temas Seculares,1773,
Temas Seculares,1774,
Temas Seculares,1775,4.00
Temas Seculares,1777,
Temas Seculares,1778,2.00
Temas Seculares,1779,
Temas Seculares,1780,
Temas Seculares,1781,
Temas Seculares,1782,
Temas Seculares,1784,2.00
Temas Seculares,1785,
Temas Seculares,1786,
Temas Seculares,1787,
Temas Seculares,1788,
Temas Seculares,1789,2.00
Temas Seculares,1790,2.00
Temas Seculares,1791,
Temas Seculares,1793,
Temas Seculares,1795,
Temas Seculares,1796,
Temas Seculares,1797,
Temas Seculares,1798,
Temas Seculares,1800,
Temas Seculares,1801,2.00
Temas Seculares,1803,
Temas Seculares,1804,
Temas Seculares,1807,
Temas Seculares,1810,
Temas Seculares,1811,
Temas Seculares,1812,
Temas Seculares,1813,
Temas Seculares,1814,
Temas Seculares,1816,
Temas Seculares,1817,
Temas Seculares,1818,
Temas Seculares,1819,
Temas Seculares,1820,1.00
Temas Seculares,1823,2.00
Temas Seculares,1826,
Temas Seculares,1827,
Temas Seculares,1828,
Temas Seculares,1831,
Temas Seculares,1833,
Temas Seculares,1834,
Temas Seculares,1835,
Temas Seculares,1839,
Temas Seculares,1849,
Temas Seculares,1850,
