categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1786,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1798,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1805,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1828,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl y David,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1562,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1652,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie Gerson,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1600,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1787,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribus de Israel,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
