categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adán, Eva y Paraíso",1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1600,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1700,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caín y Abel,1832,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1600,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1655,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1680,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1700,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escenas varias del Pentateuco,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
