categoria,anio,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1680,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1690,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1700,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1715,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1763,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1785,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1800,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrudis,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
